assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,season,season_idx,news_added,creativity_rank,creativity_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,threat_rank,threat_rank_type
0,0,0,0,0,0,133798,0,0,0,0,0.0,0,4.0,3,0.0,0.0,0,Serge,0.0,0,0,0.0,19,False,0.0,0.0,0.0,0.0,0.0,0,Joined Werder Bremen on 31/8,50,0,0,0,133798.jpg,0.0,0,0,Gnabry,0.0,False,27,u,1,3,0.0,0,408,0,1070,0,0.0,0.0,Gnabry,0,2016-17,0,,,,,,,,,
1,1,303,100,100,5,56864,0,0,-3,3,314.1,0,246.0,3,1.2,0.0,1,Francis,0.0,27,0,72.4,20,False,291.6,0.0,0.0,0.0,0.0,1779,,42,0,0,0,56864.jpg,1.8,0,0,Coquelin,1.9,False,34,a,1,3,117.0,52,156345,0,182857,0,0.0,12.4,Coquelin,5,2016-17,0,,,,,,,,,
5,8,352,100,100,9,153133,0,0,-7,7,467.8,1,150.0,3,0.2,0.0,1,Alex,0.0,20,3,138.7,21,False,326.4,0.0,0.0,0.0,0.0,1456,,53,0,0,0,153133.jpg,3.4,0,0,Iwobi,1.1,False,17,a,1,3,592.0,89,261475,0,280854,0,0.0,16.8,Iwobi,1,2016-17,0,,,,,,,,,
1,0,133,100,100,3,153256,0,0,-5,5,108.6,0,134.0,3,0.0,0.0,0,Mohamed,0.0,9,0,31.1,22,False,89.0,0.0,0.0,0.0,0.0,694,,45,0,0,0,153256.jpg,1.9,0,0,Elneny,0.4,False,35,a,1,3,116.0,26,11147,0,33295,0,0.0,5.8,Elneny,1,2016-17,0,,,,,,,,,
0,0,0,0,0,0,99127,0,0,-1,1,0.0,0,175.0,3,0.0,0.0,0,Joel,0.0,0,0,0.0,23,False,0.0,0.0,0.0,0.0,0.0,0,Joined Sporting Lisbon in season-long loan deal,59,0,0,0,99127.jpg,0.0,0,0,Campbell,0.0,False,28,u,1,3,0.0,0,563,0,5171,0,0.0,0.0,Campbell,0,2016-17,0,,,,,,,,,
3,7,506,100,100,10,84450,0,0,-3,3,626.2,1,0.0,3,3.8,0.0,2,Granit,0.0,32,2,130.8,24,False,488.8,0.0,0.0,0.0,0.0,2483,,52,0,0,0,84450.jpg,2.7,2,0,Xhaka,3.2,False,29,a,1,3,193.0,85,134586,0,273981,0,0.0,16.3,Xhaka,5,2016-17,0,,,,,,,,,
5,17,432,100,100,4,44346,0,0,-9,9,275.1,3,629.0,4,4.5,0.0,0,Olivier,0.0,16,12,158.9,25,False,522.6,0.0,0.0,0.0,0.0,1206,,81,0,0,0,44346.jpg,4.0,0,0,Giroud,4.7,False,12,a,1,3,797.0,116,846204,0,733826,0,0.0,14.3,Giroud,2,2016-17,0,,,,,,,,,
2,0,117,100,100,3,50175,0,0,-2,2,89.9,0,164.0,4,2.0,0.0,8,Danny,0.0,11,2,55.5,26,False,144.8,0.0,0.0,0.0,0.0,748,,73,0,0,0,50175.jpg,2.3,0,0,Welbeck,0.8,False,23,a,1,3,321.0,37,81846,0,54873,0,0.0,5.1,Welbeck,0,2016-17,0,,,,,,,,,
0,0,0,100,100,0,80711,0,0,-4,4,0.0,0,0.0,4,0.0,0.0,0,Yaya,0.0,0,0,0.0,27,False,0.0,0.0,0.0,0.0,0.0,0,,46,0,0,0,80711.jpg,0.0,0,0,Sanogo,0.1,False,22,a,1,3,0.0,0,4039,0,9537,0,0.0,0.0,Sanogo,0,2016-17,0,,,,,,,,,
0,0,0,0,0,0,154998,0,0,-1,1,0.0,0,0.0,4,0.0,0.0,0,Takuma,0.0,0,0,0.0,28,False,0.0,0.0,0.0,0.0,0.0,0,Awaiting work permit,49,0,0,0,154998.jpg,0.0,0,0,Asano,0.0,False,None,u,1,3,0.0,0,687,0,4515,0,0.0,0.0,Asano,0,2016-17,0,,,,,,,,,
